center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
13h49m50.9s,-17d00m00.0s,13h51m17.6s,-17d07m51.1s,34,0,,0,0.0,none
13h47m45.4s,-17d00m00.0s,13h49m12.0s,-17d07m53.4s,31,0,,0,0.0,none
13h36m04.4s,+02d00m00.0s,13h37m25.5s,+01d51m54.8s,38,0,,0,0.0,none
13h34m04.3s,+02d00m00.0s,13h35m25.4s,+01d51m53.0s,35,0,,0,0.0,none
13h32m04.2s,+02d00m00.0s,13h33m25.4s,+01d51m51.1s,28,0,,0,0.0,none
13h30m04.2s,+02d00m00.0s,13h31m25.3s,+01d51m49.3s,29,0,,0,0.0,none
13h45m39.9s,-17d00m00.0s,13h47m06.4s,-17d07m55.6s,37,0,,0,0.0,none
13h24m03.9s,+02d00m00.0s,13h25m25.1s,+01d51m44.1s,35,0,,0,0.0,none
13h22m03.9s,+02d00m00.0s,13h23m25.1s,+01d51m42.4s,29,0,,0,0.0,none
13h20m03.8s,+02d00m00.0s,13h21m25.0s,+01d51m40.8s,12,0,,0,0.0,none
13h18m03.7s,+02d00m00.0s,13h19m24.9s,+01d51m39.2s,20,0,,0,0.0,none
13h16m03.7s,+02d00m00.0s,13h17m24.9s,+01d51m37.7s,26,0,,0,0.0,none
13h14m03.6s,+02d00m00.0s,13h15m24.8s,+01d51m36.2s,21,0,,0,0.0,none
13h12m03.5s,+02d00m00.0s,13h13m24.7s,+01d51m34.7s,26,0,,0,0.0,none
13h10m03.4s,+02d00m00.0s,13h11m24.7s,+01d51m33.3s,21,0,,0,0.0,none
13h08m03.4s,+02d00m00.0s,13h09m24.6s,+01d51m31.9s,20,0,,0,0.0,none
13h06m03.3s,+02d00m00.0s,13h07m24.6s,+01d51m30.5s,26,0,,0,0.0,none
14h08m05.6s,+02d00m00.0s,14h09m26.5s,+01d52m29.9s,29,0,,0,0.0,none
14h06m05.5s,+02d00m00.0s,14h07m26.5s,+01d52m27.5s,30,0,,0,0.0,none
14h04m05.4s,+02d00m00.0s,14h05m26.4s,+01d52m25.0s,25,0,,0,0.0,none
